87,쌍용C&E,"7,700",0,0.00%,100,"38,797","503,860",3.38,"525,950",24.84,7.92,
88,한진칼,"57,700",400,-0.69%,"2,500","38,508","66,739",14.71,"84,010",-39.39,-19.55,
89,삼성중공업,"6,050",30,-0.49%,"1,000","38,115","630,000",13.72,"4,282,100",-2.65,-33.06,
90,SK케미칼,"320,500","16,000",-4.75%,"5,000","37,663","11,751",17.08,"357,538",40.72,30.49,
91,NH투자증권,"13,150",100,+0.77%,"5,000","37,005","281,409",18.76,"320,977",4.68,10.32,
92,현대차2우B,"99,800",200,-0.20%,"5,000","36,412","36,485",60.96,"38,421",7.23,N/A,
93,호텔신라,"91,000",600,-0.66%,"5,000","35,716","39,248",17.31,"400,527",-27.68,-36.74,
94,메리츠화재,"29,600",450,+1.54%,500,"35,705","120,625",10.76,"162,446",6.75,16.91,
95,GS건설,"41,650",0,0.00%,"5,000","35,645","85,581",26.01,"310,828",10.99,7.68,
96,롯데지주,"33,300",150,+0.45%,200,"34,935","104,909",8.09,"85,488",47.57,-3.03,
97,GS리테일,"32,850",200,-0.61%,"1,000","34,400","104,718",9.51,"106,169",18.03,7.50,
98,팬오션,"6,410",30,-0.47%,"1,000","34,266","534,570",10.87,"5,283,188",19.66,3.25,
99,효성첨단소재,"764,000","2,000",+0.26%,"5,000","34,227","4,480",12.25,"50,739",23.28,0.03,
100,OCI,"143,500","1,000",+0.70%,"5,000","34,224","23,849",20.24,"476,483",118.20,-9.89,
101,CJ대한통운,"149,500","2,500",+1.70%,"5,000","34,104","22,812",22.66,"31,838",97.97,3.89,
102,두산퓨얼셀,"51,400",900,+1.78%,100,"33,664","65,494",13.50,"475,862",856.67,4.18,
103,메리츠증권,"4,900",10,-0.20%,"1,000","33,405","681,731",14.32,"884,429",5.22,13.08,
104,KCC,"372,500",500,+0.13%,"5,000","33,102","8,886",13.74,"35,348",3.88,12.79,
105,한미약품,"274,000","4,500",+1.67%,"2,500","33,094","12,078",13.39,"18,178",143.31,1.65,
106,한화시스템,"17,500",50,-0.28%,"5,000","33,061","188,919",2.56,"571,887",18.98,9.35,
107,한국항공우주,"33,850",200,+0.59%,"5,000","32,995","97,475",13.36,"753,550",167.57,6.39,
108,신풍제약,"61,000",500,+0.83%,500,"32,321","52,985",8.48,"448,040","1,016.67",1.72,
109,에스원,"85,000",200,-0.23%,500,"32,299","37,999",53.92,"44,162",22.04,10.48,
110,녹십자,"272,000",0,0.00%,"5,000","31,787","11,687",21.53,"43,361",34.01,7.48,
111,현대오토에버,"115,000","1,000",-0.86%,500,"31,538","27,424",1.75,"84,920",41.49,11.09,
112,한화생명,"3,605",65,-1.77%,"5,000","31,310","868,530",8.35,"2,807,352",5.71,1.90,
113,LG화학우,"403,500","4,000",+1.00%,"5,000","31,024","7,689",70.46,"17,102",10.87,N/A,
114,씨에스윈드,"71,700","1,400",+1.99%,500,"30,237","42,171",11.09,"304,707",50.85,8.19,
115,만도,"63,400",200,+0.32%,"1,000","29,771","46,957",24.12,"248,920",12.55,0.37,
116,BGF리테일,"171,500","2,000",+1.18%,"1,000","29,642","17,284",33.08,"24,176",21.12,18.60,
117,롯데쇼핑,"104,500",0,0.00%,"5,000","29,562","28,289",10.57,"40,950",-5.11,-7.70,
118,더존비즈온,"96,600",900,+0.94%,500,"29,350","30,383",41.77,"50,455",47.08,15.09,
119,동서,"29,350",250,-0.84%,500,"29,262","99,700",3.18,"57,011",27.08,8.61,
120,CJ,"99,600",500,+0.50%,"5,000","29,060","29,177",17.82,"53,973",68.08,1.89,
121,BNK금융지주,"8,890",0,0.00%,"5,000","28,976","325,935",39.39,"1,122,231",4.28,6.11,
122,포스코인터내셔널,"23,100",50,-0.22%,"5,000","28,500","123,375",8.39,"537,379",9.67,7.69,
123,키움증권,"107,500",0,0.00%,"5,000","28,186","26,220",24.92,"76,265",2.89,27.63,
124,대우건설,"6,690",70,+1.06%,"5,000","27,805","415,623",11.80,"768,764",6.09,11.06,
125,제일기획,"24,000",350,+1.48%,200,"27,610","115,041",33.20,"387,122",14.77,16.11,
126,일진하이솔루스,"74,700","4,500",+6.41%,500,"27,126","36,313",4.07,"598,521",139.37,34.27,
127,효성티앤씨,"625,000","3,000",-0.48%,"5,000","27,048","4,328",22.99,"32,729",5.35,25.10,
128,솔루스첨단소재,"87,600",700,+0.81%,100,"26,797","30,590",8.33,"307,436",-228.12,-5.10,
129,현대미포조선,"66,600",200,+0.30%,"5,000","26,601","39,942",11.17,"141,205",-14.64,-0.84,
130,DL이앤씨,"135,500","1,000",-0.73%,"5,000","26,231","19,359",26.63,"51,012",N/A,N/A,
131,현대로템,"23,800",50,-0.21%,"5,000","25,976","109,142",3.70,"559,157",76.53,2.84,
132,한샘,"110,000",500,+0.46%,"1,000","25,887","23,534",19.19,"64,410",31.14,10.83,
133,한화에어로스페이스,"50,900",500,-0.97%,"5,000","25,771","50,630",18.52,"580,445",9.85,4.78,
134,대우조선해양,"23,650",450,-1.87%,"5,000","25,374","107,291",6.44,"390,668",-1.74,2.27,
135,한화,"33,800",150,-0.44%,"5,000","25,336","74,959",18.24,"280,475",6.50,4.79,
136,현대해상,"28,250",0,0.00%,500,"25,256","89,400",27.59,"306,987",6.54,7.13,
137,신세계,"255,500","3,500",-1.35%,"5,000","25,154","9,845",27.02,"103,402",31.18,-2.81,
138,하이트진로,"35,450",500,-1.39%,"5,000","24,862","70,134",4.72,"440,695",35.49,8.23,
139,코오롱인더,"91,800",800,-0.86%,"5,000","24,767","26,979",21.23,"289,828",18.39,9.70,
140,현대차우,"99,900",100,+0.10%,"5,000","24,332","24,357",59.01,"33,120",7.24,N/A,
141,DB하이텍,"53,000",100,+0.19%,"5,000","23,531","44,399",15.65,"342,404",14.09,23.07,
142,한전기술,"61,400",900,+1.49%,200,"23,467","38,220",3.65,"844,629",113.49,N/A,
143,TIGER 차이나전기차SOLACTIVE,"18,360",220,+1.21%,0,"23,449","127,720",4.69,"12,228,568",N/A,N/A,
144,현대위아,"85,800",0,0.00%,"5,000","23,333","27,195",7.06,"201,213",22.96,1.96,
145,롯데정밀화학,"89,200","1,100",-1.22%,"5,000","23,014","25,800",21.47,"244,375",9.38,12.65,
146,효성,"108,000",0,0.00%,"5,000","22,757","21,071",9.39,"48,313",14.74,-2.26,
147,KODEX 단기채권,"102,965",5,0.00%,0,"22,306","21,664",0.00,"3,524",N/A,N/A,
148,휠라홀딩스,"36,700","2,550",-6.50%,"1,000","22,296","60,752",47.85,"2,219,488",9.25,10.94,
149,TIGER 200,"39,675",350,+0.89%,0,"21,405","53,950",0.00,"704,507",N/A,N/A,
150,LS,"65,800",400,-0.60%,"5,000","21,188","32,200",14.23,"75,052",8.54,3.94,
151,KODEX 200선물인버스2X,"2,220",45,-1.99%,0,"20,599","927,900",4.05,"150,170,322",N/A,N/A,
152,후성,"22,050",0,0.00%,500,"20,420","92,607",5.17,"5,055,989",204.17,2.79,
153,대한전선,"2,365",20,+0.85%,500,"20,256","856,473",2.11,"6,689,843",-124.47,0.92,
154,영원무역,"45,500",700,-1.52%,500,"20,162","44,311",27.29,"105,040",10.76,8.03,
155,현대엘리베이,"48,250",250,+0.52%,"5,000","19,693","40,815",26.59,"166,469",20.44,9.78,
156,현대백화점,"83,400","1,000",-1.18%,"5,000","19,518","23,402",19.64,"105,105",15.07,1.65,
157,KODEX 단기채권PLUS,"103,270",0,0.00%,0,"19,459","18,843",0.00,"131,037",N/A,N/A,
158,LS ELECTRIC,"64,400",500,+0.78%,"5,000","19,320","30,000",18.39,"59,038",21.06,6.15,
159,한전KPS,"42,850",150,-0.35%,200,"19,282","45,000",8.09,"340,843",19.74,8.23,
160,대웅,"33,100",150,+0.46%,500,"19,245","58,142",3.95,"61,728",20.47,15.10,
161,동원시스템즈,"62,000",800,-1.27%,"5,000","18,097","29,188",1.50,"45,850",29.47,10.97,
162,KODEX 레버리지,"23,775",395,+1.69%,0,"18,069","76,000",2.31,"15,549,736",N/A,N/A,
163,JB금융지주,"9,170",140,+1.55%,"5,000","18,063","196,983",40.61,"399,239",3.98,10.06,
164,오뚜기,"490,000","4,000",+0.82%,"5,000","17,993","3,672",12.52,"3,171",20.50,7.93,
165,농심,"291,000","1,000",-0.34%,"5,000","17,700","6,083",12.84,"8,056",15.98,7.50,
166,DGB금융지주,"10,450",150,+1.46%,"5,000","17,676","169,146",50.57,"740,475",4.15,6.93,
167,KODEX 삼성그룹,"9,880",105,+1.07%,0,"17,665","178,800",0.24,"127,857",N/A,N/A,
168,동국제강,"18,250",50,+0.27%,"5,000","17,416","95,433",23.31,"416,322",5.94,3.35,
169,HDC현대산업개발,"26,200",100,+0.38%,"5,000","17,268","65,907",10.98,"242,043",9.35,8.85,
170,아시아나항공,"23,150",350,-1.49%,"5,000","17,226","74,412",9.00,"813,641",-25.16,-43.83,
171,한국앤컴퍼니,"17,750",100,+0.57%,500,"16,851","94,935",9.93,"109,727",6.80,5.08,
172,대웅제약,"144,500","2,500",+1.76%,"2,500","16,743","11,587",7.13,"36,956",564.45,2.38,
173,PI첨단소재,"56,800",600,+1.07%,500,"16,680","29,366",17.94,"74,688",30.55,15.62,
174,에스엘,"33,750",850,+2.58%,500,"16,269","48,203",16.66,"396,107",10.68,4.74,
175,금호타이어,"5,650",0,0.00%,"5,000","16,230","287,260",4.25,"237,002",76.35,-6.74,
176,두산,"97,800",800,-0.81%,"5,000","16,160","16,524",10.92,"27,465",-160.07,-34.34,
177,명신산업,"30,350","1,050",+3.58%,500,"15,925","52,470",2.30,"1,004,574",-13.16,-67.39,
178,프레스티지바이오파마,"25,300",100,+0.40%,0,"15,204","60,096",63.46,"158,913",-178.17,-1.78,
179,한미반도체,"30,650",500,-1.61%,200,"15,159","49,460",6.15,"229,558",20.43,21.03,
180,코스맥스,"133,000","1,000",-0.75%,500,"15,095","11,350",24.40,"48,122",30.82,6.23,
181,롯데관광개발,"21,650",0,0.00%,500,"14,998","69,276",6.96,"511,585",-9.59,-30.43,
182,코스모신소재,"49,750","1,250",+2.58%,"1,000","14,968","30,087",6.42,"1,526,808",78.84,7.16,
183,롯데렌탈,"40,800",450,-1.09%,"5,000","14,947","36,634",1.09,"116,616",20.83,6.73,
184,롯데칠성,"161,000","1,500",+0.94%,500,"14,939","9,279",8.52,"37,397",65.58,-1.00,
185,F&F홀딩스,"38,000",150,+0.40%,500,"14,863","39,114",0.58,"86,293",0.28,16.59,
186,TIGER 단기통안채,"100,370",5,0.00%,0,"14,671","14,617",0.81,"9,078",N/A,N/A,
187,DL,"69,100",100,+0.14%,"5,000","14,481","20,956",14.01,"45,682",2.23,11.84,
188,TIGER 미국나스닥100,"80,995",750,+0.93%,0,"14,417","17,800",0.01,"115,316",N/A,N/A,
189,KODEX 종합채권(AA-이상)액티브,"107,710",30,+0.03%,0,"14,383","13,353",0.00,"2,096",N/A,N/A,
190,솔루엠,"28,700",400,-1.37%,500,"14,352","50,006",8.69,"452,472",35.92,43.26,
191,녹십자홀딩스,"30,400",300,-0.98%,500,"14,297","47,028",5.51,"55,835",9.38,19.74,
192,NHN,"72,900",0,0.00%,500,"14,263","19,565",12.06,"33,160",65.09,1.35,
193,아이에스동서,"46,150",50,+0.11%,500,"14,257","30,893",4.55,"38,519",13.16,10.92,
194,LG생활건강우,"677,000","11,000",+1.65%,"5,000","14,215","2,100",84.55,"7,790",14.21,N/A,
195,SK가스,"150,000","4,000",-2.60%,"5,000","13,845","9,230",7.11,"25,711",5.59,14.91,
196,종근당,"120,500",500,+0.42%,"2,500","13,768","11,426",7.89,"28,971",16.18,17.88,
197,대한유화,"208,500","1,000",+0.48%,"5,000","13,552","6,500",13.37,"25,502",5.83,6.93,
198,롯데리츠,"5,570",10,+0.18%,500,"13,533","242,969",9.96,"254,613",70.51,1.68,
199,영풍,"728,000","12,000",-1.62%,"5,000","13,410","1,842",4.49,"2,402",8.74,4.03,
200,SK네트웍스,"5,220",20,-0.38%,"2,500","12,955","248,188",12.42,"361,126",35.51,1.63,
